date,symbol,eps,epsEstimated,time,revenue,revenueEstimated,fiscalDateEnding,updatedFromDate
2018-01-31,SNCPF,-15.81,,bmo,,,2018-06-30,2023-05-17
2018-01-31,5072.KL,0.023200000000000002,,bmo,302482000.0,,2018-01-31,2023-10-16
2018-01-31,5218.KL,-0.38398000000000004,,bmo,1189246000.0,,2018-01-31,2023-10-16
2018-01-31,5332.T,66.16,76.94,bmo,148610000000.0,,2017-10-31,2023-10-16
2018-01-31,5410.T,30.89,,bmo,36683000000.0,,2017-10-31,2023-10-17
2018-01-31,OUT1V.HE,0.29,0.13,bmo,1465000000.0,,2017-12-30,2023-05-17
2018-01-31,7012.T,21.95,,bmo,344322000000.0,,2017-10-31,2023-10-17
2018-01-31,TKGBF,0.4,0.42,bmo,,,2017-12-31,2023-05-17
2018-01-31,4410.T,33.49,,bmo,19972693000.0,,2017-10-31,2023-10-17
2018-01-31,8697.T,27.06,25.61,bmo,29734000000.0,,2017-10-31,2023-10-17
2018-01-31,CRAD-B.ST,0.026260000000000002,,bmo,42025000.0,,2017-12-30,2023-05-17
2018-01-31,6762.T,170.97,168.33,bmo,378872000000.0,,2017-10-31,2023-10-16
2018-01-31,SKSBF,2.87,2.51,bmo,,,2017-12-31,2023-05-17
2018-01-31,7709.T,2.06,,bmo,411699000.0,,2017-10-31,2023-10-17
2018-01-31,7723.T,119.24,,bmo,11787000000.0,,2017-10-31,2023-10-17
2018-01-31,PBMLF,-0.00975,,bmo,,,2018-01-31,2023-09-29
2018-01-31,6963.KL,0.012790000000000001,,bmo,1113297000.0,,2018-01-31,2023-10-16
2018-01-31,BMMJ,-0.08219000000000001,,bmo,831455.0,,2018-01-31,2023-05-17
2018-01-31,OUTFF,0.29,0.13,bmo,,,2017-12-31,2023-05-17
2018-01-31,6498.T,20.54,,bmo,32075000000.0,,2017-12-31,2023-10-16
2018-01-31,1657.HK,0.2335,,bmo,52420000.0,,2018-01-31,2023-10-17
2018-01-31,SEKEY,0.24,,bmo,271917000000.0,,2017-10-31,2023-10-17
2018-01-31,UNM,1.13,1.07,amc,2839200000.0,2090761061.946903,2017-12-30,2023-09-29
2018-01-31,9503.T,25.97,7.7,bmo,875117000000.0,,2017-10-31,2023-10-17
2018-01-31,005930.KS,1758.64,1726.42,bmo,65978412000000.0,,2017-12-30,2023-05-17
2018-01-31,8366.HK,-0.0016600000000000002,,bmo,42032000.0,,2018-01-31,2023-10-16
2018-01-31,BACHOCOB.MX,2.46,1.47,bmo,,,2017-12-31,2023-08-16
2018-01-31,9009.T,65.67,,bmo,65969000000.0,,2017-10-31,2023-10-17
2018-01-31,UX.CN,-0.03676,,bmo,,,2018-01-31,2023-10-16
2018-01-31,7596.T,21.13,,bmo,6638829000.0,,2017-10-31,2023-10-17
2018-01-31,7224.T,18.52,,bmo,52425000000.0,,2017-10-31,2023-10-17
2018-01-31,FMNB,0.25,0.23,bmo,25118000.0,22933826.0,2017-12-30,2023-09-29
2018-01-31,GBC.CN,-0.0386,,bmo,89762.0,,2018-01-31,2023-10-16
2018-01-31,FCNCP,,,bmo,,,2017-12-30,2023-05-17
2018-01-31,8021.HK,0.00075,,bmo,41359000.0,,2018-01-31,2023-10-16
2018-01-31,3512.T,10.04,,bmo,2791673000.0,,2017-10-31,2023-10-17
2018-01-31,TGIF.CN,-0.00468,,bmo,2962699.0,,2018-01-31,2023-10-16
